139,15459040.75,424520.75

139,15459355.27,424835.27

142,15463584.89,429064.89

143,15465553.09,431033.09

153,15467677.27,433157.27

156,15467891.06,433371.06

158,15468008.58,433488.58

162,15468357.44,433837.44

164,15468743.45,434223.45

165,15469482.37,434962.37

173,15469994.71,435474.71

174,15470849.58,436329.58

175,15471652.36,437132.36

177,15472334.41,437814.41

177,15472417.32,437897.32

177,15472725.90,438205.90

182,15473080.81,438560.81

183,15473225.75,438705.75

183,15474374.10,439854.10

186,15474711.10,440191.10

194,15475867.86,441347.86

227,15476300.29,441780.29

231,15476484.60,441964.60

232,15476616.44,442096.44

232,15476682.17,442162.17

233,15478611.71,444091.71

275,15478772.02,444252.02

294,15479248.19,444728.19

298,15479395.50,444875.50

302,15479606.72,445086.72

304,15479700.28,445180.28

312,15479893.76,445373.76

325,15479996.68,445476.68

327,15480049.91,445529.91

329,15480191.68,445671.68

331,15480348.48,445828.48

336,15480535.16,446015.16

337,15480812.65,446292.65

341,15480881.12,446361.12

352,15481507.10,446987.10

386,15481524.19,447004.19

390,15482218.64,447698.64

395,15482317.21,447797.21

404,15482389.90,447869.90

412,15482613.01,448093.01

421,15482663.50,448143.50

428,15482784.26,448264.26

440,15483882.94,449362.94

444,15484457.39,449937.39

447,15484507.87,449987.87

538,15485168.93,450648.93

544,15485205.11,450685.11

551,15485255.59,450735.59

568,15485381.02,450861.02

621,15485520.91,451000.91

638,15485591.66,451071.66

655,15485707.44,451187.44

684,15485731.56,451211.56

694,15485918.09,451398.09

736,15486008.94,451488.94

741,15486057.98,451537.98

761,15486079.69,451559.69

794,15486187.43,451667.43

842,15486313.66,451793.66

852,15486349.03,451829.03

1048,15486475.26,451955.26

1060,15486488.93,451968.93

1171,15486615.16,452095.16

1280,15486651.34,452131.34

1442,15487652.32,453132.32

1520,15487952.21,453432.21

1615,15488019.74,453499.74

1631,15488230.39,453710.39

2034,15488256.92,453736.92


# mkbabb @ fff-c in ~/Documents/PycharmProjects/erate_analysis on git:master x [18:27:

# mkbabb @ fff-c in ~/Documents/PycharmProjects/erate_analysis on git:mas

# mkbabb @ fff-c in ~/Documents/PycharmProjects/erate_analysis on git:mas
ter x [22:02:52] 
$ 
